name,Ames,BBB,CL,CYP1A2-Inhibitor,CYP1A2-Substrate,CYP2C19-Inhibitor,CYP2C19-Substrate,CYP2C9-Inhibitor,CYP2C9-Substrate,CYP2D6-Inhibitor,CYP2D6-Substrate,CYP3A4-Inhibitor,CYP3A4-Substrate,Caco-2,F (20%),F (30%),Ghose,H-HT,HIA,LD50 of acute toxicity,Lipinski,LogD7.4,LogP,LogS,Oprea,PPB,Pgp-inhibitor,Pgp-substrate,SkinSen,T1/2,VD,Varma,Veber,druglikeness,hERG
DB13074,0.206,0.9124579535102907,1.4571817994933105,0.18883761362264334,0.38066666666666665,0.688468786048717,0.308,0.3445238518439381,0.5049404761904761,0.43298000000000003,0.5328800000000001,0.5903215940850007,0.454,-6.272204109882299,0.6994,0.4194,0.75,0.83,0.67192,738.0354547968699,0.75,1.293890666666669,0.8809999999999999,-4.113361173579999,1.0,83.11643338713331,0.5,0.275511623135911,0.2652,1.8609279761325053,-0.5541535124355128,0.4,1.0,0.4339999864556086,0.7015000000000001
DB13125,0.124,0.12179037496683888,0.7225391599154853,0.4274983450421585,0.5936666666666668,0.8726618410307548,0.3953333333333333,0.857797456569664,0.4643166666666666,0.5256500000000001,0.41330999999999996,0.9058375155754749,0.634,-5.268423330899999,0.4408,0.38380000000000003,0.0,0.846,0.53804,943.0198502088551,0.5,1.590279333333333,8.524,-5.955967477730006,1.0,92.09359286914284,0.9266353475060084,0.1887500508285222,0.24646333333333334,1.7116140396206885,-1.108350343734924,0.4,0.5,0.2839999997235285,0.85
DB13156,0.19,0.9511003074342242,1.9594605921884607,0.0037372418549895484,0.08,0.012536668571264252,0.116,0.007467166238836854,0.46588333333333337,0.09978333333333332,0.27997000000000005,0.005253195969222219,0.0565,-5.784698812251896,0.19739999999999996,0.29900000000000004,0.75,0.576,0.13163333333333335,559.2490503259022,1.0,0.3105851666666665,-2.7510000000000003,-1.511992013140007,0.6666666666666666,20.23003333733334,0.041722230718465786,0.01754403319342196,0.2576,0.3897541311860387,-0.5744213046022054,0.4,1.0,0.947999987004088,0.2825
DB13163,0.192,0.930254175912503,2.0567201792760956,0.010251924495184918,0.286,0.2152820436128592,0.354,0.04052079693407976,0.2625483333333333,0.22066333333333335,0.37873166666666674,0.040875369308098104,0.466,-4.624630005858256,0.4142,0.6155999999999999,1.0,0.176,0.8215333333333333,2705.839524518712,1.0,1.4671176666666697,1.6980000000000002,-1.1553699412000082,0.0,50.67266671866668,0.16174620640684148,0.020326925084932442,0.6045542857142857,1.7751256509150628,0.1380563548879502,0.8,1.0,0.9139999752485758,0.2091
DB13166,0.1539999999322034,0.669602822558663,0.9305964409194457,0.0610378790920274,0.386,0.3373700681250297,0.39466666666666667,0.3383650085710875,0.20576666666666665,0.4087628571428571,0.3498866666666667,0.07592015348312645,0.533,-5.071702781417377,0.5388000000000001,0.45339999999999997,1.0,0.96,0.4967466666666668,839.3796782098002,1.0,0.6458904999999984,4.043,-5.114253351177331,1.0,90.97731666766667,0.7091303537020971,0.22479737839639782,0.2784666666666667,1.136865980327231,-1.3812727032707541,0.8,1.0,0.4579999977524485,0.8792000000000001
DB13170,0.17999999544885642,0.045162828027801805,-0.8886604723225994,0.07049322298139203,0.268,0.15835950875569682,0.216,0.6191470111608559,0.3798290476190476,0.39281333333333335,0.3508280952380952,0.7902234329085678,0.409,-6.191528653666647,0.1972,0.25139999999999996,0.0,0.0,0.17336999999999997,1820.9200442576566,0.25,1.304630666666664,-8.148,-2.615205970665998,1.0,54.00858784303808,0.6946679762050276,0.7902632547803663,0.39520000000000005,1.9478243816508911,-1.130741575156592,0.0,0.0,0.31799999909475374,0.444
DB13178,0.489999976000208,0.947524545603273,1.1829326251106682,0.0015756887733117402,0.222,0.056905133178875265,0.144,0.0016394008527804277,0.25666833333333333,0.06672333333333333,0.4620916666666666,0.00034285920835140497,0.03,-5.836243636985238,0.4590000000000001,0.6218,0.5,0.028,0.39973333333333333,2622.0470772311555,0.75,0.7776416666666682,-3.835,-0.24175623399883223,0.0,18.5815380992381,0.015310804422259497,0.01996003929207286,0.39160000000000006,1.5462965838826865,-0.5195932157252069,0.6,1.0,0.9959999631032881,0.31566666666666665
DB13216,0.4059999703443023,0.9143166168908818,2.2436426487936614,0.9803873934345589,0.646,0.39740581101355726,0.6753333333333332,0.019163316051958826,0.48071095238095235,0.6434833333333333,0.5666485714285714,0.07761721200743305,0.654,-4.38225857145999,0.7442000000000001,0.7399999999999999,1.0,0.5479950084837821,0.7434000000000001,758.0709857493403,1.0,2.1134785000000034,2.6210000000000004,-3.514800993786667,0.3333333333333333,78.76165712285714,0.5513126742749627,0.3142265691309424,0.4967542857142858,1.5092337247139813,0.6565857595073683,1.0,1.0,0.4479999780528774,0.44786666666666664
DB13231,0.03,0.9579297790059532,0.8622342404833526,0.013120487651575703,0.294,0.03476633416008152,0.208,0.0018353987785843613,0.4395833333333334,0.11710000000000001,0.22477,0.000603599191157144,0.028,-4.444836805594994,0.5428,0.606,0.0,0.166,0.5666,1017.5087337151681,1.0,-0.9806559999999994,-1.883,0.9071156400222872,0.0,14.818633333333336,0.02948418191537667,0.011960043613216485,0.24739999999999998,1.4173959193894512,-0.737930364512957,0.8,1.0,0.9999999623713043,0.2655
DB13269,0.11399984986754104,0.9926625119206245,0.972890863824552,0.9749192639141219,0.592,0.46328306390985124,0.654,0.06331605830939822,0.5884509523809525,0.6701166666666667,0.5492042857142858,0.09526695249996371,0.474,-4.252110609986668,0.7250000000000001,0.768,0.75,0.306,0.8065999999999999,1032.4243705967551,1.0,1.853471166666667,2.4859999999999998,-2.2690345903999902,0.0,68.73136668266666,0.07968677118774621,0.010375796532780328,0.5309577777777779,1.267387453628373,-0.5603820985003332,0.8,1.0,0.7959999885465969,0.24399999999999997
